"Βυζαντινός Ναός Αγίου Παντελεήμονος",40.6331289,22.9511625
"Ιερός Ναός Αγίου Αθανασίου",40.671004,22.9120842
"Παρεκκλήσι Αγ. Κων/νου &amp; Ελένης",40.6080495,23.0536267
"Εκκλησία Άγιος Ιωάννης",40.4532701,23.1318601
"Ἱερός Ναός Ἁγίου Ἀθανασίου",40.5224251,23.2244854
"Ιερός Ναός Αγίου Λουκά",40.6746014,22.9325487
"Ναός Αγίου Δημητρίου Θεσσαλονίκης",40.7170453,22.8128871
"ΑΠΟΣΤΟΛΙΚΗ ΕΚΚΛΗΣΙΑ ΘΕΣΣΑΛΟΝΙΚΗΣ",40.5681741,22.9706342
"Ιερός Ναός Αγίου Ανδρέου (9ος αι.)",40.5490989,23.1662356
"Ιερός Ναός Αγίων Τριών Ιεραρχών",40.6749353,22.9093258
"Ιερός Κοιμητηριακός Ναός Αγίου Βασιλείου και Αγίων Θεοδώρων",40.606702,23.0975196
"Εκκλησία Άγιος Νικόλαος",40.3768583,22.8927268
"Ορθόδοξο Εκκλησιαστικό Ίδρυμα &quot;Ευαγγελιστής Μάρκος&quot;",40.5589762,23.0221793
"Αγιος Γεώργιος",40.5441824,23.1643883
"Ιερό Παρεκκλήσιο της του Θεού Σοφίας",40.627808,23.0546433
"Ιερός Ναός Αγίου Σάββα - Μετόχιον Ι.Μ. Χιλανδαρίου στην Θεσσαλονίκη",40.6310071,22.9516884
"Παλαιοημερολογίτικος Ιερός Ναός Κοιμήσεως Θεοτόκου",40.588465,22.9469119
"Εκκλησία Άγιος Ιωάννης",40.9358295,23.2326579
"Ιερός Ναός Αγίου Γεωργίου",40.7076729,22.7248898
"Ιερός Ναός Αγίου Ελευθερίου",40.6641189,22.9366257
"Άγιος Δημήτριος",40.495697,23.1930272
"Ιερός Ναός Αγίου Γεωργίου",40.6083692,23.1030062
"Ιερός Ναός Αγίας Τριάδος",40.4341895,22.9143342
"Εξωκλήσι Αγίου Γεωργίου",40.5556276,22.9906191
"Παρεκκλήσι Αγίου Πολυκάρπου",40.6566307,22.9035058
"Ιερός Ναός Μεταμορφώσεως του Σωτήρος",40.6197727,23.0443115
"Ιερός Ναός Αγίας Ειρήνης Χρυσοβαλάντου",40.6820462,22.9531809
"Ιερός Ναός Εισοδίων της Θεοτόκου και Αγίας Φιλοθέης",40.5263526,23.0762297
"Άγιος Γεώργιος",40.6689538,23.0144356
"Ιερός Ναός Αγίας Ανυσίας",40.626076,22.9589975
"Ναΐσκος Αγία Ζώνη της Θεοτόκου",40.807673,22.9587546
"Ιερός Ναός Αγίου Γεωργίου",40.6882781,22.9533261
"Ιερά Μονή Αγίας Θεοδώρας",40.6343028,22.9437583
"Ιερός Ναός Αγίου Σπυρίδωνος",40.6830434,22.934301
"Ιερός Ναός Γέννησης Της Θεοτόκου",40.5679519,23.3499132
"Ι.Ν. Αγίου Αθανασίου",40.6309292,23.34689
"Ιερός Ναός Αγίου Νικολάου",41.0014546,23.1065448
"ΙΕΡΟΣ ΝΑΟΣ ΑΝΑΛΗΨΕΩΣ ΤΟΥ ΚΥΡΙΟΥ",40.6786215,23.0027077
"Εκκλησία Αγία Αικατερίνη",40.7820301,22.8409201
"Ιερό Παρεκκλήσιο Αγίας Αικατερίνης",40.6128485,23.002511
"Ιερός Ναός Αγίου Αθανασίου",40.7555847,22.7627433
"Ιερός Ναός Αγίας Σοφίας",40.6328094,22.9469536
"Ιερός Ναός Αγίου Λαζάρου",40.6957077,23.2206395
"Εκκλησάκι Αγίου Νικοδήμου",40.7315262,22.9803521
"Άγιος....",40.5243331,23.298678
"Εκκλησία Άγιος Νικόλαος",40.8144219,23.3128603
"Ιερός Ναός Αγίας Τριάδος",40.356742,23.1331212
"Εκκλησία Άγιος Νικόλαος",40.5278135,22.6757226
"Εκκλησάκι Αγίου Νικολάου",40.6669588,23.1198142
"Ἱερός Ναός Αγίου Ἀθανασίου Παλαιοκάστρου",40.7235406,22.9115653
"Ι.Ν. Αγ. Γεωργίου",40.9281373,23.1788913
"Ιερό εξωκκλήσι Αγίας Αικατερίνης &amp; Αγίου Μόδεστρου",40.8035282,22.9113363
"Ιερος Ναος Αναστασεως Κυριου",40.6241439,23.0498357
